timestep,demand_el,pv,demand_th
545,256766.1321786,0.0035054,0.2252491553
546,273081.4176612,0,0.2405159524
547,281259.8295071,0,0.2502901799
548,274733.715314,0,0.2389013683
549,259203.0404487,0,0.2211595052
550,249612.3294918,0,0.1839379346
551,250216.9412027,0,0.1269002312
552,238890.8561747,0,0.1213861267
553,225229.4007211,0,0.1237197599
554,215191.0001767,0,0.1263291388
555,208291.0421013,0,0.1321229022
556,204691.063975,0,0.1465407975
557,202946.4591907,0,0.1831344883
558,197449.5695133,0,0.2520080944
559,189681.9244024,0,0.2981848543
560,193821.8992476,0,0.2791958332
561,205757.2113432,0.00032073,0.2578288263
562,219801.7413923,0.12204,0.2400606312
563,231017.0578626,0.22346,0.2214337026
564,242509.2957272,0.24054,0.210736122
565,242546.2185798,0.19069,0.2050894987
566,234040.1164173,0.16941,0.2052098338
567,227357.0801009,0.12409,0.2077736323
568,225778.6281532,0.064456,0.2140788775
569,228847.8402737,0.004994,0.2252491553
570,248103.1078927,0,0.2405159524
571,262198.4068641,0,0.2502901799
572,261663.0255017,0,0.2389013683
573,252547.6962717,0,0.2211595052
574,246160.0427758,0,0.1839379346
575,248670.7967511,0,0.1269002312
576,237977.0155734,0,0.1213861267
577,224024.7926558,0,0.1154860344
578,215084.8469755,0,0.1179217554
579,211235.6395943,0,0.1233299357
580,209758.7254912,0,0.1367882996
581,215417.1526487,0,0.1709466284
582,227684.7704175,0,0.2352365983
583,254979.9891852,0,0.2783402294
584,283978.274528,0,0.2606149545
585,294935.1310303,0.00027803,0.2406699522
586,299208.9512162,0.11435,0.2240842557
587,304798.148025,0.25583,0.2066969757
588,310405.8062602,0.35596,0.1967113342
589,309284.2746132,0.40084,0.1914405016
590,306976.5963271,0.31861,0.1915528283
591,301664.3209125,0.20156,0.1939460024
592,298655.1084275,0.085011,0.1998316246
593,295327.436339,0.0078999,0.2102585046
594,308370.4340119,0,0.2245092746
595,316451.9233697,0,0.2336330134
596,312127.3342616,0,0.2230021434
597,298433.571312,0,0.2064410265
598,286253.6453181,0,0.1716966041
599,278610.6148346,0,0.1184548408
600,259876.8825083,0,0.1133077078
601,245343.1246626,0,0.1237197599
602,235780.105845,0,0.1263291388
603,231778.591697,0,0.1321229022
604,230661.6754065,0,0.1465407975
605,233837.0407282,0,0.1831344883
606,245181.5871825,0,0.2520080944
607,273755.2597207,0,0.2981848543
608,304544.3034136,0,0.2791958332
609,313895.0158288,0.00090956,0.2578288263
610,315459.6217067,0.13152,0.2400606312
611,318588.8334626,0.25851,0.2214337026
612,320633.4364241,0.31893,0.210736122
613,318639.6023849,0.31593,0.2050894987
614,318150.3745883,0.2622,0.2052098338
615,315238.0845912,0.17744,0.2077736323
616,311859.6435804,0.084356,0.2140788775
617,309376.5817446,0.0082402,0.2252491553
618,325341.1001277,0,0.2405159524
619,331899.5218167,0,0.2502901799
620,326845.7063702,0,0.2389013683
